dataset,protocol,measurement_source,model,window,rmse,mae,r2,n_eval,n_rows,n_predictions,measurement_update_count,prediction_only_count,no_measurement_count,mean_availability,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,mean_feature_assembly_time_ms,mean_inference_time_ms,mean_model_size_kb,mean_n_experts,measurement_val_rmse,source_dataset
Dataset 1,BMS-1_runtime_fast_pruned,Best-single-selected,Best-single-selected,per_fold_selected,0.0114902418728931,0.0094649251140569,0.9819500535859932,58,58,58,58,0,0,1.0,30.900525879317307,2.338294500077609,82.53342554979781,0.3475308448197085,30.5529950344976,750.4757879849138,1.0,0.0093308562078619,Dataset 1 NMC/UofM
Dataset 1,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.0112163051968753,0.009265106582264,0.9828004449753815,58,58,58,58,0,0,1.0,141.83432268963307,88.51801299999806,246.910938700006,1.0332108448253543,140.80111184480774,2981.067736395474,3.0,0.0102600429618845,Dataset 1 NMC/UofM
Dataset 1,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.010907600004306,0.0088155527925807,0.9837341792457496,58,58,58,58,0,0,1.0,243.0106062758298,174.50085599989507,419.1958665000186,1.4705067586137062,241.5400995172161,5009.275121228448,5.0,0.01088100895093,Dataset 1 NMC/UofM
Dataset 1,BMS-1_runtime_fast_pruned,MAW-GME-full-36experts,MAW-GME-full-36experts,adaptive_windows,0.011988498269685,0.0103141083259985,0.980350697204532,58,58,58,58,0,0,1.0,695.910797137936,693.1155184999511,749.29561980004,6.680847758626237,689.2299493793099,15009.167682516165,36.0,0.0196034246725315,Dataset 1 NMC/UofM
Dataset 2,BMS-1_runtime_fast_pruned,Best-single-selected,Best-single-selected,per_fold_selected,0.0049368878544765,0.0039850309753985,0.9946587036186229,519,519,519,519,0,0,1.0,2.770749292854774,2.731329000198457,3.0606782000859307,0.3707385992172209,2.400010693637553,2.216883429672447,1.0,0.0049203939077667,Dataset 2 Oxford
Dataset 2,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.0049345962317489,0.0039529067923175,0.9946636611528769,519,519,519,519,0,0,1.0,7.4819992505086415,7.367742000042199,8.252084600007947,1.0176604605051358,6.464338790003506,6.653484013728324,3.0,0.0051919591216913,Dataset 2 Oxford
Dataset 2,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.0052705687709047,0.0039639161999167,0.99391227365316,519,519,519,519,0,0,1.0,56.10009395569322,12.670281999817234,136.21259299993653,1.630498105977598,54.46959584971562,12042.419442061057,5.0,0.0054805962517685,Dataset 2 Oxford
Dataset 2,BMS-1_runtime_fast_pruned,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,0.0068411889912385,0.0039316084597768,0.9897434021060864,519,519,519,519,0,0,1.0,1061.1724328708926,1056.3224689999515,1132.828775300413,10.74865770904708,1050.4237751618457,170979.91562424734,40.0,0.0079585993938063,Dataset 2 Oxford
Dataset 3,BMS-1_runtime_fast_pruned,Best-single-selected,Best-single-selected,per_fold_selected,0.0030723058193018,0.001737781156391,0.9966990673280754,288,288,288,288,0,0,0.7768132716049383,86.6217827152723,100.65720249997412,131.9534464999947,0.3910995590257944,86.23068315624651,8330.62410820855,1.0,0.0024131923613404,Dataset 3 LFP/graphite
Dataset 3,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.0029489695211676,0.0016934013635617,0.9969587764330644,288,288,288,288,0,0,0.7768132716049383,231.7319775451487,291.26078350009266,341.49165580002995,0.8469851736205354,230.88499237152823,24245.983557807074,3.0,0.0024979340880129,Dataset 3 LFP/graphite
Dataset 3,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.002921726189771,0.0016663875654988,0.9970147080743056,288,288,288,288,0,0,0.7768132716049383,422.3038698784633,491.2685040000042,572.8854613499037,1.3314417534683938,420.9724281249949,39366.77585177952,5.0,0.0025769023657651,Dataset 3 LFP/graphite
Dataset 3,BMS-1_runtime_fast_pruned,MAW-GME-full-50experts,MAW-GME-full-50experts,adaptive_windows,0.0034347438530995,0.0023500480198858,0.9958743109798476,288,288,288,288,0,0,0.7768132716049383,1193.590410447909,1151.4204935000407,1408.153291649944,8.879461041665593,1184.7109494062436,112143.53554280598,50.0,0.0052576078978413,Dataset 3 LFP/graphite
