dataset,exclude_outliers,window,single_hi_rmse,best_multi_hi_model,best_multi_hi_rmse,rmse_improvement_percent,single_hi_mae,single_hi_r2,best_multi_model,best_multi_rmse,best_multi_mae,best_multi_r2
Dataset 1 NMC/UofM,False,full_32_42,0.0174908254126754,ExtraTrees,0.0104486658094925,40.2620198705973,,,,,,
Dataset 1 NMC/UofM,False,medium_35_40,0.0174705348647434,ExtraTrees,0.0106039970168803,39.30353535838309,,,,,,
Dataset 1 NMC/UofM,False,narrow_36_385,0.0192420628711603,ElasticNet,0.0104473214700156,45.70581366474007,,,,,,
Dataset 1 NMC/UofM,False,very_narrow_365_38,0.0229516823428718,ExtraTrees,0.0123137919015112,46.34906619237189,,,,,,
Dataset 2 Oxford,False,full_36_42,0.008512267422794,,,48.84968566605573,0.0044533812721254,0.9720352963265508,Ridge,0.004354051543705,0.0035879627408967,0.9948117139230042
Dataset 2 Oxford,False,medium_37_40,0.0095554616439502,,,43.46925006329352,0.0051945443963735,0.9687731057535738,Ridge,0.0054017741272394,0.004259428284513,0.9925171479017298
Dataset 2 Oxford,False,narrow_375_395,0.0104879797686193,,,58.935924670034,0.0059785666784398,0.9644930444589312,Ridge,0.0043067919127774,0.0035830438477939,0.9946740959987276
Dataset 2 Oxford,False,very_narrow_38_39,0.0113169129813577,,,41.11773801370404,0.0063370801662039,0.9579039792028566,Ridge,0.0066636543504441,0.0048481293836266,0.9889360225627308
Dataset 3 LFP/graphite,False,full_27_36,0.0116810510708796,,,72.04781740515733,0.009584959566759,0.9458444741392796,RandomForest,0.0032651087243291,0.0019672837328951,0.9958505895013604
Dataset 3 LFP/graphite,False,medium_32_35,0.011990247634829,,,78.77607368895644,0.0096964891983467,0.933875738807702,RandomForest,0.0025448013225277,0.0015967525333076,0.9972860094733462
Dataset 3 LFP/graphite,False,narrow_33_345,0.0259138352879933,,,89.55774925662705,0.0124908510749313,0.7633478312513928,RandomForest,0.0027059876579969,0.0016802497341917,0.9968545413457244
Dataset 3 LFP/graphite,False,paper_335_350,0.0283112272616966,,,91.9094194487574,0.0131674141926815,0.716991921597829,ExtraTrees,0.0022905426466529,0.0014814560522184,0.9977742209932854
Dataset 3 LFP/graphite,False,very_narrow_335_340,0.0187416863762795,,,86.41509346287629,0.0130349603424799,0.8483251566554026,RandomForest,0.0025460405776984,0.0015965549568076,0.9973722803921375
