experiment,window,test_cell,model,exclude_outliers,n_train,n_test,RMSE,MAE,R2
Approx-Paper-GPR,full_32_42,Cell01,Approx-Paper-GPR,False,47,11,0.014955451260390074,0.012525995297648166,0.969751487784536
Approx-Paper-GPR,full_32_42,Cell03,Approx-Paper-GPR,False,48,10,0.018043035620700476,0.012920256571385614,0.8867017081922435
Approx-Paper-GPR,full_32_42,Cell10,Approx-Paper-GPR,False,46,12,0.01516581162391163,0.010829649661374202,0.9615485138996438
Approx-Paper-GPR,full_32_42,Cell11,Approx-Paper-GPR,False,43,15,0.030359989599995398,0.02598945171905364,0.8562252719064569
Approx-Paper-GPR,full_32_42,Cell12,Approx-Paper-GPR,False,48,10,0.026296465399515166,0.024680531165644625,0.9032893285153221
Approx-Paper-GPR,medium_35_40,Cell01,Approx-Paper-GPR,False,47,11,0.010702831328036577,0.008698686382855182,0.9845081837429285
Approx-Paper-GPR,medium_35_40,Cell03,Approx-Paper-GPR,False,48,10,0.015934460408760617,0.013521266610831384,0.9116352868459192
Approx-Paper-GPR,medium_35_40,Cell10,Approx-Paper-GPR,False,46,12,0.013911786998302866,0.010226545961309083,0.9676445343768011
Approx-Paper-GPR,medium_35_40,Cell11,Approx-Paper-GPR,False,43,15,0.028044240108139412,0.024363216529177854,0.8773220043902963
Approx-Paper-GPR,medium_35_40,Cell12,Approx-Paper-GPR,False,48,10,0.02820670355516622,0.026108666667364167,0.8887284052383577
Approx-Paper-GPR,narrow_36_385,Cell01,Approx-Paper-GPR,False,47,11,0.015186594086288897,0.01133339611523997,0.9688092552144638
Approx-Paper-GPR,narrow_36_385,Cell03,Approx-Paper-GPR,False,48,10,0.02164845675672321,0.019430768878215997,0.8368984704036421
Approx-Paper-GPR,narrow_36_385,Cell10,Approx-Paper-GPR,False,46,12,0.012371938721067652,0.008602296060121306,0.9744107630751859
Approx-Paper-GPR,narrow_36_385,Cell11,Approx-Paper-GPR,False,43,15,0.025309926667611494,0.02048230401449467,0.9000780060751763
Approx-Paper-GPR,narrow_36_385,Cell12,Approx-Paper-GPR,False,48,10,0.028989783346754946,0.026830005435581394,0.8824643581304648
Approx-Paper-GPR,very_narrow_365_38,Cell01,Approx-Paper-GPR,False,47,11,0.023283909751164025,0.02102166336873086,0.9266809566890434
Approx-Paper-GPR,very_narrow_365_38,Cell03,Approx-Paper-GPR,False,48,10,0.02846302788509359,0.02588673799653022,0.7180537351114429
Approx-Paper-GPR,very_narrow_365_38,Cell10,Approx-Paper-GPR,False,46,12,0.017613952362611797,0.015087256583241069,0.9481324839813519
Approx-Paper-GPR,very_narrow_365_38,Cell11,Approx-Paper-GPR,False,43,15,0.03150623827513322,0.026754846659184855,0.8451638285015763
Approx-Paper-GPR,very_narrow_365_38,Cell12,Approx-Paper-GPR,False,48,10,0.03421561779197916,0.030448863559029572,0.8362699419131927
Approx-Paper-GPR,full_32_42,Cell01,Approx-Paper-GPR,True,44,9,0.009663827280502964,0.007890049287004937,0.9756247295917632
Approx-Paper-GPR,full_32_42,Cell03,Approx-Paper-GPR,True,43,10,0.021070043766907607,0.01743986186047204,0.845497673112256
Approx-Paper-GPR,full_32_42,Cell10,Approx-Paper-GPR,True,42,11,0.013761609050734263,0.011506166735842665,0.9540412024507521
Approx-Paper-GPR,full_32_42,Cell11,Approx-Paper-GPR,True,39,14,0.026908461224265892,0.02331547871104838,0.8298308977755109
Approx-Paper-GPR,full_32_42,Cell12,Approx-Paper-GPR,True,44,9,0.02436102768750106,0.021530343686780046,0.8253296935273015
Approx-Paper-GPR,medium_35_40,Cell01,Approx-Paper-GPR,True,44,9,0.00943211159466284,0.007480795390355695,0.9767796380807858
Approx-Paper-GPR,medium_35_40,Cell03,Approx-Paper-GPR,True,43,10,0.020626381109782835,0.016422344551248837,0.8519357453356265
Approx-Paper-GPR,medium_35_40,Cell10,Approx-Paper-GPR,True,42,11,0.012850798452921858,0.01084899227020385,0.9599234387350308
Approx-Paper-GPR,medium_35_40,Cell11,Approx-Paper-GPR,True,39,14,0.02742767553799699,0.023861056009555088,0.8232005181420029
Approx-Paper-GPR,medium_35_40,Cell12,Approx-Paper-GPR,True,44,9,0.0262795247028366,0.02364272564497917,0.7967348691377247
Approx-Paper-GPR,narrow_36_385,Cell01,Approx-Paper-GPR,True,44,9,0.015496334696588369,0.010804546924832063,0.9373228703387634
Approx-Paper-GPR,narrow_36_385,Cell03,Approx-Paper-GPR,True,43,10,0.022890747724280243,0.0191632154535852,0.8176422994710127
Approx-Paper-GPR,narrow_36_385,Cell10,Approx-Paper-GPR,True,42,11,0.011813177823059474,0.0079798019778396,0.9661340152579743
Approx-Paper-GPR,narrow_36_385,Cell11,Approx-Paper-GPR,True,39,14,0.017087875898488758,0.013835659804715785,0.9313755077756567
Approx-Paper-GPR,narrow_36_385,Cell12,Approx-Paper-GPR,True,44,9,0.027789360032387998,0.024730151582169943,0.7727075749114437
Approx-Paper-GPR,very_narrow_365_38,Cell01,Approx-Paper-GPR,True,44,9,0.015734691589052746,0.013911016769935867,0.9353799048159267
Approx-Paper-GPR,very_narrow_365_38,Cell03,Approx-Paper-GPR,True,43,10,0.02837361281323595,0.02440811898477959,0.719822390738745
Approx-Paper-GPR,very_narrow_365_38,Cell10,Approx-Paper-GPR,True,42,11,0.018572556875222204,0.01710450880077635,0.9162907174970537
Approx-Paper-GPR,very_narrow_365_38,Cell11,Approx-Paper-GPR,True,39,14,0.023225170288945458,0.01832203308855831,0.8732287433629448
Approx-Paper-GPR,very_narrow_365_38,Cell12,Approx-Paper-GPR,True,44,9,0.030357377067258183,0.026467152221692145,0.728758360031118
