experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
WA-SMHE,stacked_all_windows,Cell01,WA-SMHE,False,47,11,61,28,0.021651872739766372,0.01833504436816912,0.9365990293835338
WA-SMHE,stacked_all_windows,Cell03,WA-SMHE,False,48,10,61,28,0.014884944180970321,0.012257835338898581,0.9228921542714962
WA-SMHE,stacked_all_windows,Cell10,WA-SMHE,False,46,12,61,28,0.021425025143810138,0.020226090924727463,0.9232595228142328
WA-SMHE,stacked_all_windows,Cell11,WA-SMHE,False,43,15,61,28,0.03107289245225608,0.028955459269376854,0.8493938586124045
WA-SMHE,stacked_all_windows,Cell12,WA-SMHE,False,48,10,61,28,0.02182166923911028,0.017256636343742405,0.9334028596200805
WA-SMHE,stacked_all_windows,Cell01,WA-SMHE,True,44,9,61,28,0.021984945144414198,0.017756008323959342,0.8738457470011253
WA-SMHE,stacked_all_windows,Cell03,WA-SMHE,True,43,10,61,28,0.011291499787864449,0.007813442281613925,0.955628162843635
WA-SMHE,stacked_all_windows,Cell10,WA-SMHE,True,42,11,61,28,0.029487185478492047,0.02846395044696841,0.7889929972136573
WA-SMHE,stacked_all_windows,Cell11,WA-SMHE,True,39,14,61,28,0.015454006585755116,0.014278702184983925,0.9438712762480505
WA-SMHE,stacked_all_windows,Cell12,WA-SMHE,True,44,9,61,28,0.01583825424027306,0.013645109496494643,0.9261683640226136
