exclude_outliers,window,single_hi_rmse,single_hi_mae,single_hi_r2,best_multi_model,best_multi_rmse,best_multi_mae,best_multi_r2,rmse_improvement_percent
False,full_27_36,0.011681051070879689,0.009584959566759012,0.9458444741392796,RandomForest,0.0032651087243291146,0.0019672837328951736,0.9958505895013605,72.04781740515733
False,medium_32_35,0.011990247634829075,0.009696489198346798,0.9338757388077019,RandomForest,0.002544801322527765,0.001596752533307664,0.9972860094733462,78.77607368895644
False,narrow_33_345,0.025913835287993382,0.01249085107493139,0.7633478312513928,RandomForest,0.00270598765799693,0.001680249734191734,0.9968545413457243,89.55774925662705
False,paper_335_350,0.02831122726169666,0.013167414192681564,0.716991921597829,ExtraTrees,0.002290542646652917,0.0014814560522184298,0.9977742209932854,91.9094194487574
False,very_narrow_335_340,0.018741686376279536,0.013034960342479973,0.8483251566554026,RandomForest,0.0025460405776984224,0.0015965549568076214,0.9973722803921377,86.41509346287629
True,full_27_36,0.011681051070879689,0.009584959566759012,0.9458444741392796,RandomForest,0.0032651087243291176,0.001967283732895172,0.9958505895013605,72.04781740515732
True,medium_32_35,0.011990247634829075,0.009696489198346798,0.9338757388077019,RandomForest,0.002544801322527767,0.001596752533307668,0.9972860094733462,78.77607368895644
True,narrow_33_345,0.025913835287993382,0.01249085107493139,0.7633478312513928,RandomForest,0.0027059876579969347,0.0016802497341917469,0.9968545413457243,89.55774925662702
True,paper_335_350,0.02831122726169666,0.013167414192681564,0.716991921597829,ExtraTrees,0.002290542646652921,0.0014814560522184318,0.9977742209932854,91.9094194487574
True,very_narrow_335_340,0.018741686376279536,0.013034960342479973,0.8483251566554026,RandomForest,0.0025460405776984176,0.00159655495680762,0.9973722803921377,86.41509346287633
